outcome	control	effect	ci_lo	ci_hi	p	n	n_recur	n_single	scale
Delta-log pi interaction (ratio)	unadjusted	1.73463	0.765226	3.93208	0.187123	62	32	30	ratio
Delta-log pi interaction (ratio)	covariate-adjusted	0.855506	0.422681	1.73154	0.664411	62	32	30	ratio
Delta-log pi interaction (ratio)	matched (length+AF)	1.03686	0.398451	2.52443	0.943606	36	18	18	ratio
Hudson FST (Recurrent - Single)	unadjusted	-0.198223	-0.320971	-0.0754737	0.00155013	59	32	27	difference
Hudson FST (Recurrent - Single)	covariate-adjusted	-0.225188	-0.385733	-0.0646428	0.00597436	59	32	27	difference
Hudson FST (Recurrent - Single)	matched (length+AF)	-0.197842	-0.349169	-0.0646269	0.0131987	32	16	16	difference
da = Dxy - pi_avg (Recurrent - Single)	unadjusted	-0.000256768	-0.000473884	-3.96517e-05	0.0204519	60	32	28	difference
da = Dxy - pi_avg (Recurrent - Single)	covariate-adjusted	-0.00037022	-0.000671667	-6.87738e-05	0.0160769	60	32	28	difference
da = Dxy - pi_avg (Recurrent - Single)	matched (length+AF)	-0.000288294	-0.000651919	-1.94706e-05	0.0813919	34	17	17	difference
